algorithm,controller,second,bits_per_second,path,hop_count,total_bandwidth_mbps
bfs,bfs_osken_controller.py,1,41934231.85012341,Access1 -> Dist1 -> Core1 -> Core2 -> Dist3 -> Access4,5,0.0
bfs,bfs_osken_controller.py,2,52434044.274514474,Access1 -> Dist1 -> Core1 -> Core2 -> Dist3 -> Access4,5,0.0
bfs,bfs_osken_controller.py,3,41938425.5077334,Access1 -> Dist1 -> Core1 -> Core2 -> Dist3 -> Access4,5,0.0
bfs,bfs_osken_controller.py,4,52435353.94418365,Access1 -> Dist1 -> Core1 -> Core2 -> Dist3 -> Access4,5,0.0
bfs,bfs_osken_controller.py,5,41937420.75292989,Access1 -> Dist1 -> Core1 -> Core2 -> Dist3 -> Access4,5,0.0
bfs,bfs_osken_controller.py,6,52435722.7889763,Access1 -> Dist1 -> Core1 -> Core2 -> Dist3 -> Access4,5,0.0
bfs,bfs_osken_controller.py,7,41942915.00037253,Access1 -> Dist1 -> Core1 -> Core2 -> Dist3 -> Access4,5,0.0
bfs,bfs_osken_controller.py,8,52428487.50186264,Access1 -> Dist1 -> Core1 -> Core2 -> Dist3 -> Access4,5,0.0
bfs,bfs_osken_controller.py,9,41937210.8102459,Access1 -> Dist1 -> Core1 -> Core2 -> Dist3 -> Access4,5,0.0
bfs,bfs_osken_controller.py,10,52433991.13893996,Access1 -> Dist1 -> Core1 -> Core2 -> Dist3 -> Access4,5,0.0
bfs,bfs_osken_controller.py,11,51382536.2915566,Access1 -> Dist1 -> Core1 -> Core2 -> Dist3 -> Access4,5,0.0
bfs,bfs_osken_controller.py,12,41937795.6558081,Access1 -> Dist1 -> Core1 -> Core2 -> Dist3 -> Access4,5,0.0
bfs,bfs_osken_controller.py,13,52434147.4203489,Access1 -> Dist1 -> Core1 -> Core2 -> Dist3 -> Access4,5,0.0
bfs,bfs_osken_controller.py,14,41936960.881219916,Access1 -> Dist1 -> Core1 -> Core2 -> Dist3 -> Access4,5,0.0
bfs,bfs_osken_controller.py,15,52435563.37236987,Access1 -> Dist1 -> Core1 -> Core2 -> Dist3 -> Access4,5,0.0
bfs,bfs_osken_controller.py,16,52431422.00612206,Access1 -> Dist1 -> Core1 -> Core2 -> Dist3 -> Access4,5,0.0
bfs,bfs_osken_controller.py,17,41938845.41952765,Access1 -> Dist1 -> Core1 -> Core2 -> Dist3 -> Access4,5,0.0
bfs,bfs_osken_controller.py,18,52435197.65558249,Access1 -> Dist1 -> Core1 -> Core2 -> Dist3 -> Access4,5,0.0
bfs,bfs_osken_controller.py,19,41935951.19828234,Access1 -> Dist1 -> Core1 -> Core2 -> Dist3 -> Access4,5,0.0
bfs,bfs_osken_controller.py,20,52431893.932568625,Access1 -> Dist1 -> Core1 -> Core2 -> Dist3 -> Access4,5,0.0
astar,astar_osken_controller.py,1,118477944.4231217,Access1 -> Dist2 -> Dist1 -> Core1 -> Core3 -> Core2 -> Dist3 -> Access4,7,0.0
astar,astar_osken_controller.py,2,94372216.87650506,Access1 -> Dist2 -> Dist1 -> Core1 -> Core3 -> Core2 -> Dist3 -> Access4,7,0.0
astar,astar_osken_controller.py,3,94371840.0,Access1 -> Dist2 -> Dist1 -> Core1 -> Core3 -> Core2 -> Dist3 -> Access4,7,0.0
astar,astar_osken_controller.py,4,94371648.7503876,Access1 -> Dist2 -> Dist1 -> Core1 -> Core3 -> Core2 -> Dist3 -> Access4,7,0.0
