algorithm,controller,source_host,destination_host,ping_index,icmp_seq,warmup,include_in_analysis,rtt_ms,path,path_switches,hop_count,total_delay_ms,raw_ping_line,controller_log
bfs,bfs_osken_controller.py,HostA,HostD,1,1,1,0,105.0,SwitchA -> SwitchD,s1 -> s4,1,50.0,64 bytes from 10.0.0.4: icmp_seq=1 ttl=64 time=105 ms,/tmp/mesh_bfs_cejze_ap/controller.log
bfs,bfs_osken_controller.py,HostA,HostD,2,2,1,0,104.0,SwitchA -> SwitchD,s1 -> s4,1,50.0,64 bytes from 10.0.0.4: icmp_seq=2 ttl=64 time=104 ms,/tmp/mesh_bfs_cejze_ap/controller.log
bfs,bfs_osken_controller.py,HostA,HostD,3,3,1,0,104.0,SwitchA -> SwitchD,s1 -> s4,1,50.0,64 bytes from 10.0.0.4: icmp_seq=3 ttl=64 time=104 ms,/tmp/mesh_bfs_cejze_ap/controller.log
bfs,bfs_osken_controller.py,HostA,HostD,4,4,1,0,104.0,SwitchA -> SwitchD,s1 -> s4,1,50.0,64 bytes from 10.0.0.4: icmp_seq=4 ttl=64 time=104 ms,/tmp/mesh_bfs_cejze_ap/controller.log
bfs,bfs_osken_controller.py,HostA,HostD,5,5,1,0,104.0,SwitchA -> SwitchD,s1 -> s4,1,50.0,64 bytes from 10.0.0.4: icmp_seq=5 ttl=64 time=104 ms,/tmp/mesh_bfs_cejze_ap/controller.log
bfs,bfs_osken_controller.py,HostA,HostD,6,6,0,1,104.0,SwitchA -> SwitchD,s1 -> s4,1,50.0,64 bytes from 10.0.0.4: icmp_seq=6 ttl=64 time=104 ms,/tmp/mesh_bfs_cejze_ap/controller.log
bfs,bfs_osken_controller.py,HostA,HostD,7,7,0,1,104.0,SwitchA -> SwitchD,s1 -> s4,1,50.0,64 bytes from 10.0.0.4: icmp_seq=7 ttl=64 time=104 ms,/tmp/mesh_bfs_cejze_ap/controller.log
bfs,bfs_osken_controller.py,HostA,HostD,8,8,0,1,104.0,SwitchA -> SwitchD,s1 -> s4,1,50.0,64 bytes from 10.0.0.4: icmp_seq=8 ttl=64 time=104 ms,/tmp/mesh_bfs_cejze_ap/controller.log
bfs,bfs_osken_controller.py,HostA,HostD,9,9,0,1,104.0,SwitchA -> SwitchD,s1 -> s4,1,50.0,64 bytes from 10.0.0.4: icmp_seq=9 ttl=64 time=104 ms,/tmp/mesh_bfs_cejze_ap/controller.log
bfs,bfs_osken_controller.py,HostA,HostD,10,10,0,1,104.0,SwitchA -> SwitchD,s1 -> s4,1,50.0,64 bytes from 10.0.0.4: icmp_seq=10 ttl=64 time=104 ms,/tmp/mesh_bfs_cejze_ap/controller.log
bfs,bfs_osken_controller.py,HostA,HostD,11,11,0,1,104.0,SwitchA -> SwitchD,s1 -> s4,1,50.0,64 bytes from 10.0.0.4: icmp_seq=11 ttl=64 time=104 ms,/tmp/mesh_bfs_cejze_ap/controller.log
bfs,bfs_osken_controller.py,HostA,HostD,12,12,0,1,104.0,SwitchA -> SwitchD,s1 -> s4,1,50.0,64 bytes from 10.0.0.4: icmp_seq=12 ttl=64 time=104 ms,/tmp/mesh_bfs_cejze_ap/controller.log
bfs,bfs_osken_controller.py,HostA,HostD,13,13,0,1,104.0,SwitchA -> SwitchD,s1 -> s4,1,50.0,64 bytes from 10.0.0.4: icmp_seq=13 ttl=64 time=104 ms,/tmp/mesh_bfs_cejze_ap/controller.log
bfs,bfs_osken_controller.py,HostA,HostD,14,14,0,1,104.0,SwitchA -> SwitchD,s1 -> s4,1,50.0,64 bytes from 10.0.0.4: icmp_seq=14 ttl=64 time=104 ms,/tmp/mesh_bfs_cejze_ap/controller.log
bfs,bfs_osken_controller.py,HostA,HostD,15,15,0,1,104.0,SwitchA -> SwitchD,s1 -> s4,1,50.0,64 bytes from 10.0.0.4: icmp_seq=15 ttl=64 time=104 ms,/tmp/mesh_bfs_cejze_ap/controller.log
bfs,bfs_osken_controller.py,HostA,HostD,16,16,0,1,104.0,SwitchA -> SwitchD,s1 -> s4,1,50.0,64 bytes from 10.0.0.4: icmp_seq=16 ttl=64 time=104 ms,/tmp/mesh_bfs_cejze_ap/controller.log
bfs,bfs_osken_controller.py,HostA,HostD,17,17,0,1,104.0,SwitchA -> SwitchD,s1 -> s4,1,50.0,64 bytes from 10.0.0.4: icmp_seq=17 ttl=64 time=104 ms,/tmp/mesh_bfs_cejze_ap/controller.log
bfs,bfs_osken_controller.py,HostA,HostD,18,18,0,1,104.0,SwitchA -> SwitchD,s1 -> s4,1,50.0,64 bytes from 10.0.0.4: icmp_seq=18 ttl=64 time=104 ms,/tmp/mesh_bfs_cejze_ap/controller.log
bfs,bfs_osken_controller.py,HostA,HostD,19,19,0,1,104.0,SwitchA -> SwitchD,s1 -> s4,1,50.0,64 bytes from 10.0.0.4: icmp_seq=19 ttl=64 time=104 ms,/tmp/mesh_bfs_cejze_ap/controller.log
bfs,bfs_osken_controller.py,HostA,HostD,20,20,0,1,104.0,SwitchA -> SwitchD,s1 -> s4,1,50.0,64 bytes from 10.0.0.4: icmp_seq=20 ttl=64 time=104 ms,/tmp/mesh_bfs_cejze_ap/controller.log
bfs,bfs_osken_controller.py,HostA,HostD,21,21,0,1,104.0,SwitchA -> SwitchD,s1 -> s4,1,50.0,64 bytes from 10.0.0.4: icmp_seq=21 ttl=64 time=104 ms,/tmp/mesh_bfs_cejze_ap/controller.log
bfs,bfs_osken_controller.py,HostA,HostD,22,22,0,1,104.0,SwitchA -> SwitchD,s1 -> s4,1,50.0,64 bytes from 10.0.0.4: icmp_seq=22 ttl=64 time=104 ms,/tmp/mesh_bfs_cejze_ap/controller.log
bfs,bfs_osken_controller.py,HostA,HostD,23,23,0,1,104.0,SwitchA -> SwitchD,s1 -> s4,1,50.0,64 bytes from 10.0.0.4: icmp_seq=23 ttl=64 time=104 ms,/tmp/mesh_bfs_cejze_ap/controller.log
bfs,bfs_osken_controller.py,HostA,HostD,24,24,0,1,104.0,SwitchA -> SwitchD,s1 -> s4,1,50.0,64 bytes from 10.0.0.4: icmp_seq=24 ttl=64 time=104 ms,/tmp/mesh_bfs_cejze_ap/controller.log
bfs,bfs_osken_controller.py,HostA,HostD,25,25,0,1,104.0,SwitchA -> SwitchD,s1 -> s4,1,50.0,64 bytes from 10.0.0.4: icmp_seq=25 ttl=64 time=104 ms,/tmp/mesh_bfs_cejze_ap/controller.log
bfs,bfs_osken_controller.py,HostA,HostD,26,26,0,1,104.0,SwitchA -> SwitchD,s1 -> s4,1,50.0,64 bytes from 10.0.0.4: icmp_seq=26 ttl=64 time=104 ms,/tmp/mesh_bfs_cejze_ap/controller.log
bfs,bfs_osken_controller.py,HostA,HostD,27,27,0,1,104.0,SwitchA -> SwitchD,s1 -> s4,1,50.0,64 bytes from 10.0.0.4: icmp_seq=27 ttl=64 time=104 ms,/tmp/mesh_bfs_cejze_ap/controller.log
bfs,bfs_osken_controller.py,HostA,HostD,28,28,0,1,104.0,SwitchA -> SwitchD,s1 -> s4,1,50.0,64 bytes from 10.0.0.4: icmp_seq=28 ttl=64 time=104 ms,/tmp/mesh_bfs_cejze_ap/controller.log
bfs,bfs_osken_controller.py,HostA,HostD,29,29,0,1,104.0,SwitchA -> SwitchD,s1 -> s4,1,50.0,64 bytes from 10.0.0.4: icmp_seq=29 ttl=64 time=104 ms,/tmp/mesh_bfs_cejze_ap/controller.log
bfs,bfs_osken_controller.py,HostA,HostD,30,30,0,1,104.0,SwitchA -> SwitchD,s1 -> s4,1,50.0,64 bytes from 10.0.0.4: icmp_seq=30 ttl=64 time=104 ms,/tmp/mesh_bfs_cejze_ap/controller.log
bfs,bfs_osken_controller.py,HostA,HostD,31,31,0,1,104.0,SwitchA -> SwitchD,s1 -> s4,1,50.0,64 bytes from 10.0.0.4: icmp_seq=31 ttl=64 time=104 ms,/tmp/mesh_bfs_cejze_ap/controller.log
bfs,bfs_osken_controller.py,HostA,HostD,32,32,0,1,104.0,SwitchA -> SwitchD,s1 -> s4,1,50.0,64 bytes from 10.0.0.4: icmp_seq=32 ttl=64 time=104 ms,/tmp/mesh_bfs_cejze_ap/controller.log
