algorithm,controller,source_host,destination_host,ping_index,icmp_seq,warmup,include_in_analysis,rtt_ms,path,path_switches,hop_count,total_delay_ms,raw_ping_line,controller_log
bfs,bfs_osken_controller.py,Host1,Host4,1,1,1,0,115.0,Access1 -> Dist1 -> Core1 -> Core3 -> Core2 -> Dist3 -> Access4,s16 -> s4 -> s1 -> s3 -> s2 -> s6 -> s19,6,3.0,64 bytes from 10.0.0.4: icmp_seq=1 ttl=64 time=115 ms,/tmp/hierarchy_bfs_q7v0s10q/controller.log
bfs,bfs_osken_controller.py,Host1,Host4,2,2,1,0,114.0,Access1 -> Dist1 -> Core1 -> Core3 -> Core2 -> Dist3 -> Access4,s16 -> s4 -> s1 -> s3 -> s2 -> s6 -> s19,6,3.0,64 bytes from 10.0.0.4: icmp_seq=2 ttl=64 time=114 ms,/tmp/hierarchy_bfs_q7v0s10q/controller.log
bfs,bfs_osken_controller.py,Host1,Host4,3,3,1,0,114.0,Access1 -> Dist1 -> Core1 -> Core3 -> Core2 -> Dist3 -> Access4,s16 -> s4 -> s1 -> s3 -> s2 -> s6 -> s19,6,3.0,64 bytes from 10.0.0.4: icmp_seq=3 ttl=64 time=114 ms,/tmp/hierarchy_bfs_q7v0s10q/controller.log
bfs,bfs_osken_controller.py,Host1,Host4,4,4,1,0,114.0,Access1 -> Dist1 -> Core1 -> Core3 -> Core2 -> Dist3 -> Access4,s16 -> s4 -> s1 -> s3 -> s2 -> s6 -> s19,6,3.0,64 bytes from 10.0.0.4: icmp_seq=4 ttl=64 time=114 ms,/tmp/hierarchy_bfs_q7v0s10q/controller.log
bfs,bfs_osken_controller.py,Host1,Host4,5,5,1,0,115.0,Access1 -> Dist1 -> Core1 -> Core3 -> Core2 -> Dist3 -> Access4,s16 -> s4 -> s1 -> s3 -> s2 -> s6 -> s19,6,3.0,64 bytes from 10.0.0.4: icmp_seq=5 ttl=64 time=115 ms,/tmp/hierarchy_bfs_q7v0s10q/controller.log
bfs,bfs_osken_controller.py,Host1,Host4,6,6,0,1,114.0,Access1 -> Dist1 -> Core1 -> Core3 -> Core2 -> Dist3 -> Access4,s16 -> s4 -> s1 -> s3 -> s2 -> s6 -> s19,6,3.0,64 bytes from 10.0.0.4: icmp_seq=6 ttl=64 time=114 ms,/tmp/hierarchy_bfs_q7v0s10q/controller.log
bfs,bfs_osken_controller.py,Host1,Host4,7,7,0,1,114.0,Access1 -> Dist1 -> Core1 -> Core3 -> Core2 -> Dist3 -> Access4,s16 -> s4 -> s1 -> s3 -> s2 -> s6 -> s19,6,3.0,64 bytes from 10.0.0.4: icmp_seq=7 ttl=64 time=114 ms,/tmp/hierarchy_bfs_q7v0s10q/controller.log
bfs,bfs_osken_controller.py,Host1,Host4,8,8,0,1,114.0,Access1 -> Dist1 -> Core1 -> Core3 -> Core2 -> Dist3 -> Access4,s16 -> s4 -> s1 -> s3 -> s2 -> s6 -> s19,6,3.0,64 bytes from 10.0.0.4: icmp_seq=8 ttl=64 time=114 ms,/tmp/hierarchy_bfs_q7v0s10q/controller.log
bfs,bfs_osken_controller.py,Host1,Host4,9,9,0,1,114.0,Access1 -> Dist1 -> Core1 -> Core3 -> Core2 -> Dist3 -> Access4,s16 -> s4 -> s1 -> s3 -> s2 -> s6 -> s19,6,3.0,64 bytes from 10.0.0.4: icmp_seq=9 ttl=64 time=114 ms,/tmp/hierarchy_bfs_q7v0s10q/controller.log
bfs,bfs_osken_controller.py,Host1,Host4,10,10,0,1,114.0,Access1 -> Dist1 -> Core1 -> Core3 -> Core2 -> Dist3 -> Access4,s16 -> s4 -> s1 -> s3 -> s2 -> s6 -> s19,6,3.0,64 bytes from 10.0.0.4: icmp_seq=10 ttl=64 time=114 ms,/tmp/hierarchy_bfs_q7v0s10q/controller.log
bfs,bfs_osken_controller.py,Host1,Host4,11,11,0,1,114.0,Access1 -> Dist1 -> Core1 -> Core3 -> Core2 -> Dist3 -> Access4,s16 -> s4 -> s1 -> s3 -> s2 -> s6 -> s19,6,3.0,64 bytes from 10.0.0.4: icmp_seq=11 ttl=64 time=114 ms,/tmp/hierarchy_bfs_q7v0s10q/controller.log
bfs,bfs_osken_controller.py,Host1,Host4,12,12,0,1,114.0,Access1 -> Dist1 -> Core1 -> Core3 -> Core2 -> Dist3 -> Access4,s16 -> s4 -> s1 -> s3 -> s2 -> s6 -> s19,6,3.0,64 bytes from 10.0.0.4: icmp_seq=12 ttl=64 time=114 ms,/tmp/hierarchy_bfs_q7v0s10q/controller.log
bfs,bfs_osken_controller.py,Host1,Host4,13,13,0,1,114.0,Access1 -> Dist1 -> Core1 -> Core3 -> Core2 -> Dist3 -> Access4,s16 -> s4 -> s1 -> s3 -> s2 -> s6 -> s19,6,3.0,64 bytes from 10.0.0.4: icmp_seq=13 ttl=64 time=114 ms,/tmp/hierarchy_bfs_q7v0s10q/controller.log
bfs,bfs_osken_controller.py,Host1,Host4,14,14,0,1,114.0,Access1 -> Dist1 -> Core1 -> Core3 -> Core2 -> Dist3 -> Access4,s16 -> s4 -> s1 -> s3 -> s2 -> s6 -> s19,6,3.0,64 bytes from 10.0.0.4: icmp_seq=14 ttl=64 time=114 ms,/tmp/hierarchy_bfs_q7v0s10q/controller.log
bfs,bfs_osken_controller.py,Host1,Host4,15,15,0,1,114.0,Access1 -> Dist1 -> Core1 -> Core3 -> Core2 -> Dist3 -> Access4,s16 -> s4 -> s1 -> s3 -> s2 -> s6 -> s19,6,3.0,64 bytes from 10.0.0.4: icmp_seq=15 ttl=64 time=114 ms,/tmp/hierarchy_bfs_q7v0s10q/controller.log
bfs,bfs_osken_controller.py,Host1,Host4,16,16,0,1,114.0,Access1 -> Dist1 -> Core1 -> Core3 -> Core2 -> Dist3 -> Access4,s16 -> s4 -> s1 -> s3 -> s2 -> s6 -> s19,6,3.0,64 bytes from 10.0.0.4: icmp_seq=16 ttl=64 time=114 ms,/tmp/hierarchy_bfs_q7v0s10q/controller.log
bfs,bfs_osken_controller.py,Host1,Host4,17,17,0,1,114.0,Access1 -> Dist1 -> Core1 -> Core3 -> Core2 -> Dist3 -> Access4,s16 -> s4 -> s1 -> s3 -> s2 -> s6 -> s19,6,3.0,64 bytes from 10.0.0.4: icmp_seq=17 ttl=64 time=114 ms,/tmp/hierarchy_bfs_q7v0s10q/controller.log
bfs,bfs_osken_controller.py,Host1,Host4,18,18,0,1,115.0,Access1 -> Dist1 -> Core1 -> Core3 -> Core2 -> Dist3 -> Access4,s16 -> s4 -> s1 -> s3 -> s2 -> s6 -> s19,6,3.0,64 bytes from 10.0.0.4: icmp_seq=18 ttl=64 time=115 ms,/tmp/hierarchy_bfs_q7v0s10q/controller.log
