algorithm,controller,second,bits_per_second,path,hop_count,total_bandwidth_mbps
bfs,bfs_osken_controller.py,1,40886655.74116881,Access1 -> Dist1 -> Core1 -> Core2 -> Dist3 -> Access4,5,0.0
bfs,bfs_osken_controller.py,2,52433675.45333548,Access1 -> Dist1 -> Core1 -> Core2 -> Dist3 -> Access4,5,0.0
bfs,bfs_osken_controller.py,3,41938175.56422901,Access1 -> Dist1 -> Core1 -> Core2 -> Dist3 -> Access4,5,0.0
bfs,bfs_osken_controller.py,4,52433203.494818464,Access1 -> Dist1 -> Core1 -> Core2 -> Dist3 -> Access4,5,0.0
bfs,bfs_osken_controller.py,5,41938680.45317707,Access1 -> Dist1 -> Core1 -> Core2 -> Dist3 -> Access4,5,0.0
bfs,bfs_osken_controller.py,6,52433991.13893996,Access1 -> Dist1 -> Core1 -> Core2 -> Dist3 -> Access4,5,0.0
bfs,bfs_osken_controller.py,7,41938635.46257942,Access1 -> Dist1 -> Core1 -> Core2 -> Dist3 -> Access4,5,0.0
bfs,bfs_osken_controller.py,8,52437504.569949344,Access1 -> Dist1 -> Core1 -> Core2 -> Dist3 -> Access4,5,0.0
bfs,bfs_osken_controller.py,9,52427437.535407215,Access1 -> Dist1 -> Core1 -> Core2 -> Dist3 -> Access4,5,0.0
bfs,bfs_osken_controller.py,10,41945557.65111414,Access1 -> Dist1 -> Core1 -> Core2 -> Dist3 -> Access4,5,0.0
bfs,bfs_osken_controller.py,11,51375649.032397844,Access1 -> Dist1 -> Core1 -> Core2 -> Dist3 -> Access4,5,0.0
bfs,bfs_osken_controller.py,12,41938425.5077334,Access1 -> Dist1 -> Core1 -> Core2 -> Dist3 -> Access4,5,0.0
bfs,bfs_osken_controller.py,13,52433100.352697685,Access1 -> Dist1 -> Core1 -> Core2 -> Dist3 -> Access4,5,0.0
bfs,bfs_osken_controller.py,14,52431422.00612206,Access1 -> Dist1 -> Core1 -> Core2 -> Dist3 -> Access4,5,0.0
bfs,bfs_osken_controller.py,15,41943752.51210368,Access1 -> Dist1 -> Core1 -> Core2 -> Dist3 -> Access4,5,0.0
bfs,bfs_osken_controller.py,16,52428956.25046566,Access1 -> Dist1 -> Core1 -> Core2 -> Dist3 -> Access4,5,0.0
bfs,bfs_osken_controller.py,17,41938635.46257942,Access1 -> Dist1 -> Core1 -> Core2 -> Dist3 -> Access4,5,0.0
bfs,bfs_osken_controller.py,18,52432209.59672153,Access1 -> Dist1 -> Core1 -> Core2 -> Dist3 -> Access4,5,0.0
bfs,bfs_osken_controller.py,19,41940985.10067983,Access1 -> Dist1 -> Core1 -> Core2 -> Dist3 -> Access4,5,0.0
